id,description,Ollama_Response
749356,"---Problem Description---
Just installed Fedora16 Oct 17 build. Haven't done anything yet and just issued a command:

df  -k 

and then saw the following duplicated output:

[root@c57f1ju0203 ~]# df -k
Filesystem                         1K-blocks    Used Available Use% Mounted on
rootfs                              42896600 5389988  35327540  14% /
devtmpfs                             3101568       0   3101568   0% /dev
tmpfs                                3114688       0   3114688   0% /dev/shm
tmpfs                                3114688  134848   2979840   5% /run
/dev/mapper/vg_c57f1ju0203-lv_root  42896600 5389988  35327540  14% /
tmpfs                                3114688  134848   2979840   5% /run
tmpfs                                3114688       0   3114688   0% /sys/fs/cgroup
tmpfs                                3114688       0   3114688   0% /media
/dev/sda2                             495844   52221    418023  12% /boot
[root@c57f1ju0203 ~]#

There are two /run mounts shown.

Disabling sandbox does not take care of the duplication. This looks like Red Hat Bug 709351.


---uname output---
Linux c57f1ju0203.ppd.pok.ibm.com 3.1.0-0.rc9.git0.2.fc16.kh.ppc64 #1 SMP Wed Oct 12 22:41:01 UTC 2011 ppc64 ppc64 ppc64 GNU/Linux
 
Machine Type = platform        : pSeries model           : IBM,8246-L2B machine         : CHRP IBM,8246-L2B 
 
---Debugger---
A debugger is not configured
 
---Steps to Reproduce---
 1. Use VIO install the above Fedora
2. After install is done run command df -k
 
---File System Tools Component Data--- 
Userspace tool common name: df -k 
 
The userspace tool has the following bit modes: 64 

Userspace rpm: Fedora-20111017-ppc64-DVD.iso  

Userspace tool obtained from project website:  na 

Retested with Fedora Alpha and this issue still exists.",df -k
748314,"Description of problem:
No matter what I do, the system will not respect my group memberships.

During installation, I made the primary account part of the administrators group (wheel). After installation, I get error messages that I am not in the sudoers file. 

Check /etc/group, I find
wheel:x:10:justin

However, the system does not recognize this
[root@thebe ~]# groups justin
justin : justin

I have repeatedly tried `usermod -aG wheel justin` to no avail.

Version-Release number of selected component (if applicable):
Name        : coreutils
Arch        : x86_64
Version     : 8.12
Release     : 2.fc16
Size        : 13 M

How reproducible:
Rebooted several times and have run updates

Steps to Reproduce:
1. Install F16 w/ Btrfs for / (not sure if Btrfs is causing part of the problem)
2. Try to sudo
3. Observe that group memberships are not respected
  
Actual results:
membership in /etc/group exists, but `groups` doesn't reflect it.

Expected results:
entries in /etc/group should match the system groups.

Additional info:",None
748215,"Description of problem:
The ""Requires: pam"" of coreutils is inadequate -- /etc/pam.d/su does an
 'include' of postlogin, but /etc/pam.d/postlogin did not exist until
 pam-1.1.3-7 .
Without /etc/pam.d/postlogin, /bin/su will fail:

  su: cannot not open session: Permission denied

with an error message in /var/log/secure:

  ... su: PAM _pam_load_conf_file: unable to open /etc/pam.d/postlogin

So the requires line in th spec file should be:
  Requires: pam >= 1.1.3-7

Version-Release number of selected component (if applicable):
coreutils-8.12-2.fc16.i686
(Note: Same problem exists in util-linux-2.20-1.fc16.i686; a separate
 report has been filed against util-linux .)

This is not likely to happen on a standard spin.  And during OS install,
/etc/pam.d/postlogin is replaced by a symlink to a generated postlogin-ac .
But by examining the following, it is apparent that coreutils really does
need postlogin, and that postlogin first appeared in pam-1.1.3-7:

  $ grep postlogin /etc/pam.d/su
  $ rpm -q --changelog pam-1.1.4-4.fc16 | grep -B1 postlogin
  $ rpmls pam-1.1.4-4.fc16 | grep postlogin",None
746371,"Description of problem:
df shows tmpfs /run listed twice.

Version-Release number of selected component (if applicable):


How reproducible:
always

Steps to Reproduce:
1. issue a `df`

  
Actual results:
[root@melkweg var]# df
Filesystem                 1K-blocks     Used Available Use% Mounted on
rootfs                      35380904  3848368  31173196  11% /
devtmpfs                     1931968        0   1931968   0% /dev
tmpfs                        1941976      160   1941816   1% /dev/shm
tmpfs                        1941976    47536   1894440   3% /run
/dev/mapper/vg00-lvol_root  35380904  3848368  31173196  11% /
tmpfs                        1941976    47536   1894440   3% /run
tmpfs                        1941976        0   1941976   0% /sys/fs/cgroup
tmpfs                        1941976        0   1941976   0% /media
/dev/sda1                     495844    58789    411455  13% /boot
/dev/mapper/vg00-lvol_var   15126920   762776  13595736   6% /var
/dev/mapper/vg00-lvol_home 100791728 63077376  32594352  66% /home

Expected results:
[root@melkweg var]# df
Filesystem                 1K-blocks     Used Available Use% Mounted on
rootfs                      35380904  3848368  31173196  11% /
devtmpfs                     1931968        0   1931968   0% /dev
tmpfs                        1941976      160   1941816   1% /dev/shm
tmpfs                        1941976    47536   1894440   3% /run
/dev/mapper/vg00-lvol_root  35380904  3848368  31173196  11% /
tmpfs                        1941976        0   1941976   0% /sys/fs/cgroup
tmpfs                        1941976        0   1941976   0% /media
/dev/sda1                     495844    58789    411455  13% /boot
/dev/mapper/vg00-lvol_var   15126920   762776  13595736   6% /var
/dev/mapper/vg00-lvol_home 100791728 63077376  32594352  66% /home

Additional info:

Not sure if it's due to the link for /var/run and /var/lock -> /var/run/local but similarly to how a bound mount doesn't show up in the df but in /proc/mounts it really shouldn't show up twice",df
737287,"Description of problem:

yum update coreutils
Loaded plugins: langpacks, presto, refresh-packagekit
Setting up Update Process
Resolving Dependencies
--> Running transaction check
---> Package coreutils.x86_64 0:8.12-7.fc17 will be updated
--> Processing Dependency: coreutils = 8.12-7.fc17 for package: coreutils-libs-8.12-7.fc17.x86_64
---> Package coreutils.x86_64 0:8.13-1.fc17 will be an update
--> Finished Dependency Resolution
Error: Package: coreutils-libs-8.12-7.fc17.x86_64 (@koji)
           Requires: coreutils = 8.12-7.fc17
           Removing: coreutils-8.12-7.fc17.x86_64 (@koji)
               coreutils = 8.12-7.fc17
           Updated By: coreutils-8.13-1.fc17.x86_64 (koji)
               coreutils = 8.13-1.fc17
 You could try using --skip-broken to work around the problem
 You could try running: rpm -Va --nofiles --nodigest",None
692823,"Description of problem:

/bin/ls -l on an automount directory of some nature peforms the following ops on each file:

lstat(""doc"", {st_mode=S_IFDIR|S_ISGID|0775, st_size=4096, ...}) = 0
lgetxattr(""doc"", ""security.selinux"", ""unconfined_u:object_r:default_t:s0"", 255) = 35
getxattr(""doc"", ""system.posix_acl_access"", 0x0, 0) = -1 EOPNOTSUPP (Operation not supported)

and possibly also:

getxattr(""/etc"", ""system.posix_acl_default"", 0x0, 0) = -1 ENODATA (No data available)

depending on the circumstances.

The first two calls (lstat and lgetxattr) don't follow symlinks and mounts, but the second is a getxattr call which _does_ follow symlinks and mounts.  The latter can cause automount points to mount, which the former won't, at least from linux-2.6.38-rc1 onwards.

These should be consistent, and so I believe the getxattr calls should be lgetxattr calls.  Without this, the first two calls may refer to a different object to the second pair of calls.

Version-Release number of selected component (if applicable):

F-13 and F-14 coreutils both show this.  coreutils-8.5-7.fc14.x86_64 is what's on my desktop.

How reproducible:

100%

Steps to Reproduce:
1. strace -e trace=lstat,getxattr,lgetxattr ls -l /media
  
Actual results:

lstat(""/media"", {st_mode=S_IFDIR|0755, st_size=4096, ...}) = 0
lgetxattr(""/media"", ""security.selinux"", ""system_u:object_r:mnt_t:s0"", 255) = 27
getxattr(""/media"", ""system.posix_acl_access"", 0x0, 0) = -1 ENODATA (No data available)
getxattr(""/media"", ""system.posix_acl_default"", 0x0, 0) = -1 ENODATA (No data available)

Expected results:

The getxattrs should be lgetxattrs.

Additional info:

This is a problem that occurs in conjunction with the acl package - that doesn't provide a way of calling lgetxattr() through it.","strace -e trace=lstat,getxattr,lgetxattr ls -l /media"
720090,"Description of problem:
I couldn't find ""date"" in the components, please file where appropriate

I can see that there is a %n for newline and a %t for tab, but I do not see a %whatever to indicate a space. I am trying to do a `date +%d%b%y %T` and it barks over the T. I can get what I want by {`date +%d%b%y` 'date +%T`}, but this seems silly to have to call date twice just to get a space inbetween. The padding doesn't help as far as I can see

Version-Release number of selected component (if applicable):


How reproducible:
[...] | mail -s ""whatever `date +%d%b%y %T`"" whoever.localhost

Steps to Reproduce:
1.
2.
3.
  
Actual results:
Error

Expected results:
""whatever 08jul11 23:14""

Additional info:
Thanks in advance,
Paul",None
567210,"Description of problem:
I'd like to run a process as another user, leaving it in screen session that can be reconnected from another session. While it works without any troubles on Gentoo, it seems impossible on Fedora ...

Version-Release number of selected component (if applicable):
screen-4.0.3-15.fc12

How reproducible:
always

Steps to Reproduce:
1. add two users (user1, user2)
2. log into X as user1
3. run terminal program
4. su - user2
5. screen
  
Actual results:
Cannot open your terminal '/dev/pts/6' - please check.

Expected results:
(new screen session is opened)

Additional info:
disabling selinux (setenforce 0) makes no difference","```bash
adduser user1
adduser user2
su - user1
xterm &  # or any other terminal emulator
su - user2
screen
```"
496402,"So, there was the recent change:

===
* Thu Mar 19 2009 Ondrej Vasik <ovasik@redhat.com> 7.1-7
- do not ship /etc/DIR_COLORS.xterm - as many terminals
  use TERM xterm and black background as default - making
  ls color output unreadable
- shipping /etc/DIR_COLORS.lightbgcolor instead of it for
  light(white/gray) backgrounds
===

Now, I can't argue with the logic of that - TERM=xterm doesn't mean that the background is either light or dark.

*However*, as we ship Fedora we default to using white background colors in gnome-terminal and xterm. (I don't know about konsole offhand)

So it me, that if we believe that DIR_COLORS.lightbgcolor is the right set of colors with a light background, then we should make sure that people get those colors out of the box. We shouldn't ask users to:

 ln -s /etc/DIR_COLORS.lightbgcolor ~/.dircolors.xterm

to fix things to work right. (is that the preferred way to do it?)

How should this be addressed?",None
709022,"I just ran df -h and was suprised by the output:

In english this is ...
$ LANG=CC df -h | head -n 2
Filesystem            Size  Used Avail Use% Mounted on
rootfs                 39G   37G  1.8G  96% /

... but in German there is a % too much:
$ df -h | head -n 2
Dateisystem          Größe Benut  Verf Ben%% Eingehängt auf
rootfs                 39G   37G  1,8G  96% /

This dos not appear on ""df"" while it appears on ""df -h""","```bash
LANG=de_DE.UTF-8 df -h | head -n 2
```"
